[ T-Track ]
    title = Espectro de energia en el gel
     mesh =  reg            # mesh type is region-wise
      reg = 600
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
    1      600   1.0000E+00 # 600
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  1.0000000E-09  # minimum value of e-mesh points
     emax =   25.00000      # maximum value of e-mesh points
#    edel =  0.2500000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-09  2.50000E-01  5.00000E-01  7.50000E-01  1.00000E+00
#           1.25000E+00  1.50000E+00  1.75000E+00  2.00000E+00  2.25000E+00
#           2.50000E+00  2.75000E+00  3.00000E+00  3.25000E+00  3.50000E+00
#           3.75000E+00  4.00000E+00  4.25000E+00  4.50000E+00  4.75000E+00
#           5.00000E+00  5.25000E+00  5.50000E+00  5.75000E+00  6.00000E+00
#           6.25000E+00  6.50000E+00  6.75000E+00  7.00000E+00  7.25000E+00
#           7.50000E+00  7.75000E+00  8.00000E+00  8.25000E+00  8.50000E+00
#           8.75000E+00  9.00000E+00  9.25000E+00  9.50000E+00  9.75000E+00
#           1.00000E+01  1.02500E+01  1.05000E+01  1.07500E+01  1.10000E+01
#           1.12500E+01  1.15000E+01  1.17500E+01  1.20000E+01  1.22500E+01
#           1.25000E+01  1.27500E+01  1.30000E+01  1.32500E+01  1.35000E+01
#           1.37500E+01  1.40000E+01  1.42500E+01  1.45000E+01  1.47500E+01
#           1.50000E+01  1.52500E+01  1.55000E+01  1.57500E+01  1.60000E+01
#           1.62500E+01  1.65000E+01  1.67500E+01  1.70000E+01  1.72500E+01
#           1.75000E+01  1.77500E+01  1.80000E+01  1.82500E+01  1.85000E+01
#           1.87500E+01  1.90000E+01  1.92500E+01  1.95000E+01  1.97500E+01
#           2.00000E+01  2.02500E+01  2.05000E+01  2.07500E+01  2.10000E+01
#           2.12500E+01  2.15000E+01  2.17500E+01  2.20000E+01  2.22500E+01
#           2.25000E+01  2.27500E+01  2.30000E+01  2.32500E+01  2.35000E+01
#           2.37500E+01  2.40000E+01  2.42500E+01  2.45000E+01  2.47500E+01
#           2.50000E+01
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = ./out/energy_gel.out  # file name of output for the above axis
     part =  proton   
# kf/name :  2212     
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         107 (  0)           0 (  0)         107 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    600

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n  
#  e-lower      e-upper        proton    r.err 
   1.1250E+01   1.1500E+01   1.7654E+06  0.0006
   1.1500E+01   1.1750E+01   1.7323E+06  0.0006
   1.1750E+01   1.2000E+01   1.6661E+06  0.0006
   1.2000E+01   1.2250E+01   1.6987E+06  0.0006
   1.2250E+01   1.2500E+01   1.7358E+06  0.0006
   1.2500E+01   1.2750E+01   1.6341E+06  0.0006
   1.2750E+01   1.3000E+01   1.5472E+06  0.0007
   1.3000E+01   1.3250E+01   1.6357E+06  0.0007
   1.3250E+01   1.3500E+01   1.5678E+06  0.0007
   1.3500E+01   1.3750E+01   1.2881E+06  0.0007
   1.3750E+01   1.4000E+01   1.4270E+06  0.0007
   1.4000E+01   1.4250E+01   1.6466E+06  0.0007
   1.4250E+01   1.4500E+01   1.5554E+06  0.0007
   1.4500E+01   1.4750E+01   1.2715E+06  0.0008
   1.4750E+01   1.5000E+01   1.1365E+06  0.0008
   1.5000E+01   1.5250E+01   1.0026E+06  0.0009
   1.5250E+01   1.5500E+01   3.8997E+05  0.0012
   1.5500E+01   1.5750E+01   1.9781E+04  0.0041
   1.5750E+01   1.6000E+01   2.5986E+01  0.0819
   1.6000E+01   1.6250E+01   0.0000E+00  0.0000
   1.6250E+01   1.6500E+01   0.0000E+00  0.0000
   1.6500E+01   1.6750E+01   0.0000E+00  0.0000
   1.6750E+01   1.7000E+01   0.0000E+00  0.0000
   1.7000E+01   1.7250E+01   0.0000E+00  0.0000
   1.7250E+01   1.7500E+01   0.0000E+00  0.0000
   1.7500E+01   1.7750E+01   0.0000E+00  0.0000
   1.7750E+01   1.8000E+01   0.0000E+00  0.0000
   1.8000E+01   1.8250E+01   0.0000E+00  0.0000
   1.8250E+01   1.8500E+01   0.0000E+00  0.0000
   1.8500E+01   1.8750E+01   0.0000E+00  0.0000
   1.8750E+01   1.9000E+01   0.0000E+00  0.0000
   1.9000E+01   1.9250E+01   0.0000E+00  0.0000
   1.9250E+01   1.9500E+01   0.0000E+00  0.0000
   1.9500E+01   1.9750E+01   0.0000E+00  0.0000
   1.9750E+01   2.0000E+01   0.0000E+00  0.0000
   2.0000E+01   2.0250E+01   0.0000E+00  0.0000
   2.0250E+01   2.0500E+01   0.0000E+00  0.0000
   2.0500E+01   2.0750E+01   0.0000E+00  0.0000
   2.0750E+01   2.1000E+01   0.0000E+00  0.0000
   2.1000E+01   2.1250E+01   0.0000E+00  0.0000
   2.1250E+01   2.1500E+01   0.0000E+00  0.0000
   2.1500E+01   2.1750E+01   0.0000E+00  0.0000
   2.1750E+01   2.2000E+01   0.0000E+00  0.0000
   2.2000E+01   2.2250E+01   0.0000E+00  0.0000
   2.2250E+01   2.2500E+01   0.0000E+00  0.0000
   2.2500E+01   2.2750E+01   0.0000E+00  0.0000
   2.2750E+01   2.3000E+01   0.0000E+00  0.0000
   2.3000E+01   2.3250E+01   0.0000E+00  0.0000
   2.3250E+01   2.3500E+01   0.0000E+00  0.0000
   2.3500E+01   2.3750E+01   0.0000E+00  0.0000
   2.3750E+01   2.4000E+01   0.0000E+00  0.0000
   2.4000E+01   2.4250E+01   0.0000E+00  0.0000
   2.4250E+01   2.4500E+01   0.0000E+00  0.0000
   2.4500E+01   2.4750E+01   0.0000E+00  0.0000
   2.4750E+01   2.5000E+01   0.0000E+00  0.0000

#   sum over                 6.3447E+07  0.0005

'no. =  1,  reg  =    600'
msuc: {\huge Espectro de energia en el gel}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.35}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 8.84802248660947893E-03 # Total source weight or Total source weight / maxcas
# resc3  = 5.52250000000000000E+07 # Total history number or Total batch number
# maxcas =       25000 # History / Batch, only used for istdev=1
# bitrseed = 1000100011011110110101110101001001011101011110000000111110110100 # bit data of rseed
